Sample name,AA amplicon number,Feature ID,Classification,Location,Oncogenes,Complexity score,Captured interval length,Feature median copy number,Feature maximum copy number,Filter flag,Reference version,Tissue of origin,Sample type,Feature BED file,CNV BED file,AA PNG file,AA PDF file,AA cycles file,AA graph file,Run metadata JSON,Sample metadata JSON,All genes
22RV1_PROSTATE,NA,22RV1_PROSTATE_NA,NA,[],[],NA,NA,NA,NA,NA,GRCh38,prostate,cell line,Not Provided,samples/22RV1_PROSTATE/22RV1_PROSTATE_CNV_CALLS.bed,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,[]
2313287_STOMACH,NA,2313287_STOMACH_NA,NA,[],[],NA,NA,NA,NA,NA,GRCh38,stomach,cell line,Not Provided,samples/2313287_STOMACH/2313287_STOMACH_CNV_CALLS.bed,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,[]
5637_URINARY_TRACT,1,5637_URINARY_TRACT_amplicon1_ecDNA_1,ecDNA,['chr6:20350615-22839372'],"['E2F3', 'SOX4']",1.2231668014006596,2488757.0,29.75728688271195,67.41932920134495,None,GRCh38,urinary tract,cell line,consolidated_classification/69d18295fc9a5d9c79b9c22a_classification_bed_files/5637_URINARY_TRACT_amplicon1_ecDNA_1_intervals.bed,samples/5637_URINARY_TRACT/5637_URINARY_TRACT_CNV_CALLS.bed,samples/5637_URINARY_TRACT/5637_URINARY_TRACT_AA_results/5637_URINARY_TRACT_amplicon1.png,samples/5637_URINARY_TRACT/5637_URINARY_TRACT_AA_results/5637_URINARY_TRACT_amplicon1.pdf,samples/5637_URINARY_TRACT/5637_URINARY_TRACT_AA_results/5637_URINARY_TRACT_amplicon1_cycles.txt,samples/5637_URINARY_TRACT/5637_URINARY_TRACT_AA_results/5637_URINARY_TRACT_amplicon1_graph.txt,Not Provided,Not Provided,"['CASC15', 'CDKAL1', 'E2F3', 'HDGFL1', 'NBAT1', 'PRL', 'SOX4']"
5637_URINARY_TRACT,1,5637_URINARY_TRACT_amplicon1_ecDNA_2,ecDNA,"['chr3:9099507-9519221', 'chr3:9521655-10184493', 'chr3:10187258-14005720']","['FANCD2', 'PPARG', 'RAF1', 'SRGAP3', 'VHL']",0.7095808656738307,4901014.0,13.1750189607799,17.283489630383706,None,GRCh38,urinary tract,cell line,consolidated_classification/69d18295fc9a5d9c79b9c22a_classification_bed_files/5637_URINARY_TRACT_amplicon1_ecDNA_2_intervals.bed,samples/5637_URINARY_TRACT/5637_URINARY_TRACT_CNV_CALLS.bed,samples/5637_URINARY_TRACT/5637_URINARY_TRACT_AA_results/5637_URINARY_TRACT_amplicon1.png,samples/5637_URINARY_TRACT/5637_URINARY_TRACT_AA_results/5637_URINARY_TRACT_amplicon1.pdf,samples/5637_URINARY_TRACT/5637_URINARY_TRACT_AA_results/5637_URINARY_TRACT_amplicon1_cycles.txt,samples/5637_URINARY_TRACT/5637_URINARY_TRACT_AA_results/5637_URINARY_TRACT_amplicon1_graph.txt,Not Provided,Not Provided,"['ARPC4', 'ARPC4-TTLL3', 'ATG7', 'ATP2B2', 'ATP2B2-IT2', 'BRK1', 'BRPF1', 'CAMK1', 'CAND2', 'CIDEC', 'CIDECP1', 'CPNE9', 'CRELD1', 'EMC3', 'EMC3-AS1', 'FANCD2', 'FANCD2OS', 'FBLN2', 'FGD5P1', 'GHRL', 'GHRLOS', 'HDAC11', 'HDAC11-AS1', 'HRH1', 'IL17RC', 'IL17RE', 'IQSEC1', 'IRAK2', 'JAGN1', 'LHFPL4', 'MKRN2', 'MKRN2OS', 'MTMR14', 'NUP210', 'OGG1', 'PPARG', 'PRRT3', 'PRRT3-AS1', 'RAF1', 'RPL32', 'RPUSD3', 'SEC13', 'SETD5', 'SLC6A1', 'SLC6A1-AS1', 'SLC6A11', 'SNORA7A', 'SNORA93', 'SRGAP3', 'SRGAP3-AS2', 'SRGAP3-AS3', 'SRGAP3-AS4', 'SYN2', 'TADA3', 'TAMM41', 'TATDN2', 'THUMPD3', 'THUMPD3-AS1', 'TIMP4', 'TMEM40', 'TPRXL', 'TSEN2', 'TTLL3', 'VGLL4', 'VHL', 'WNT7A']"
59M_OVARY,1,59M_OVARY_amplicon1_Complex-non-cyclic_1,Complex-non-cyclic,"['chr5:51400000-51925591', 'chr5:51925690-52863895', 'chr9:104220123-104600584', 'chr9:104600954-105410708', 'chr9:110623485-111967773']",[],0.9358918768532419,3998299.0,5.026092559341866,5.787943177670361,None,GRCh38,ovary,cell line,consolidated_classification/69d18295fc9a5d9c79b9c22a_classification_bed_files/59M_OVARY_amplicon1_Complex-non-cyclic_1_intervals.bed,samples/59M_OVARY/59M_OVARY_CNV_CALLS.bed,samples/59M_OVARY/59M_OVARY_AA_results/59M_OVARY_amplicon1.png,samples/59M_OVARY/59M_OVARY_AA_results/59M_OVARY_amplicon1.pdf,samples/59M_OVARY/59M_OVARY_AA_results/59M_OVARY_amplicon1_cycles.txt,samples/59M_OVARY/59M_OVARY_AA_results/59M_OVARY_amplicon1_graph.txt,Not Provided,Not Provided,"['ABCA1', 'DNAJC25', 'DNAJC25-GNG10', 'ECPAS', 'GNG10', 'ITGA1', 'LPAR1', 'LRRC37A5P', 'MUSK', 'NIPSNAP3A', 'NIPSNAP3B', 'OR13C2', 'OR13C3', 'OR13C4', 'OR13C5', 'OR13C8', 'OR13C9', 'OR13D1', 'OR13F1', 'OR2K2', 'PELO', 'PTGR1', 'SHOC1', 'SLC44A1', 'UGCG', 'ZNF483']"
59M_OVARY,2,59M_OVARY_amplicon2_ecDNA_1,ecDNA,"['chr8:52712046-56014576', 'chr8:65533018-65573949', 'chr8:71974787-71975210']",['TCEA1'],1.0748739505856881,3343884.0,15.129375054052778,24.85406887144347,None,GRCh38,ovary,cell line,consolidated_classification/69d18295fc9a5d9c79b9c22a_classification_bed_files/59M_OVARY_amplicon2_ecDNA_1_intervals.bed,samples/59M_OVARY/59M_OVARY_CNV_CALLS.bed,samples/59M_OVARY/59M_OVARY_AA_results/59M_OVARY_amplicon2.png,samples/59M_OVARY/59M_OVARY_AA_results/59M_OVARY_amplicon2.pdf,samples/59M_OVARY/59M_OVARY_AA_results/59M_OVARY_amplicon2_cycles.txt,samples/59M_OVARY/59M_OVARY_AA_results/59M_OVARY_amplicon2_graph.txt,Not Provided,Not Provided,"['ATP6V1H', 'LYN', 'LYPLA1', 'MRPL15', 'MSC-AS1', 'NPBWR1', 'OPRK1', 'RB1CC1', 'RGS20', 'RNU105C', 'RP1', 'SBF1P1', 'SNORA1B', 'SOX17', 'TCEA1', 'TGS1', 'TMEM68', 'XKR4']"
59M_OVARY,2,59M_OVARY_amplicon2_ecDNA_2,ecDNA,"['chr8:124484622-125582885', 'chr8:125588889-125953950']",['TRIB1'],0.3667049514575795,1463324.0,10.047200594780163,10.047200594780163,None,GRCh38,ovary,cell line,consolidated_classification/69d18295fc9a5d9c79b9c22a_classification_bed_files/59M_OVARY_amplicon2_ecDNA_2_intervals.bed,samples/59M_OVARY/59M_OVARY_CNV_CALLS.bed,samples/59M_OVARY/59M_OVARY_AA_results/59M_OVARY_amplicon2.png,samples/59M_OVARY/59M_OVARY_AA_results/59M_OVARY_amplicon2.pdf,samples/59M_OVARY/59M_OVARY_AA_results/59M_OVARY_amplicon2_cycles.txt,samples/59M_OVARY/59M_OVARY_AA_results/59M_OVARY_amplicon2_graph.txt,Not Provided,Not Provided,"['MTSS1', 'NDUFB9', 'NSMCE2', 'RNF139', 'SQLE', 'TATDN1', 'TRIB1', 'WASHC5', 'ZNF572']"
59M_OVARY,3,59M_OVARY_amplicon3_Linear_1,Linear,['chr13:93784223-95278291'],[],0.38010105712766035,1494068.0,4.7397055073344765,4.7397055073344765,LowCN,GRCh38,ovary,cell line,consolidated_classification/69d18295fc9a5d9c79b9c22a_classification_bed_files/59M_OVARY_amplicon3_Linear_1_intervals.bed,samples/59M_OVARY/59M_OVARY_CNV_CALLS.bed,samples/59M_OVARY/59M_OVARY_AA_results/59M_OVARY_amplicon3.png,samples/59M_OVARY/59M_OVARY_AA_results/59M_OVARY_amplicon3.pdf,samples/59M_OVARY/59M_OVARY_AA_results/59M_OVARY_amplicon3_cycles.txt,samples/59M_OVARY/59M_OVARY_AA_results/59M_OVARY_amplicon3_graph.txt,Not Provided,Not Provided,"['ABCC4', 'DCT', 'GPC6', 'GPC6-AS1', 'GPC6-AS2', 'GPR180', 'SNORD13G', 'SOX21', 'SOX21-AS1', 'TGDS']"
59M_OVARY,4,59M_OVARY_amplicon4_Linear_1,Linear,"['chr13:102029117-102029936', 'chr13:102041569-102768360']",[],0.9828956844466861,727610.0,4.693523392236026,4.693523392236026,LowCN,GRCh38,ovary,cell line,consolidated_classification/69d18295fc9a5d9c79b9c22a_classification_bed_files/59M_OVARY_amplicon4_Linear_1_intervals.bed,samples/59M_OVARY/59M_OVARY_CNV_CALLS.bed,samples/59M_OVARY/59M_OVARY_AA_results/59M_OVARY_amplicon4.png,samples/59M_OVARY/59M_OVARY_AA_results/59M_OVARY_amplicon4.pdf,samples/59M_OVARY/59M_OVARY_AA_results/59M_OVARY_amplicon4_cycles.txt,samples/59M_OVARY/59M_OVARY_AA_results/59M_OVARY_amplicon4_graph.txt,Not Provided,Not Provided,"['CCDC168', 'FGF14', 'FGF14-AS1', 'FGF14-AS2', 'FGF14-IT1', 'METTL21C', 'TEX30', 'TPP2']"
59M_OVARY,5,59M_OVARY_amplicon5_Linear_1,Linear,['chr16:35231372-35300002'],[],3.669287096385469e-13,68630.0,5.196021662541906,5.196021662541906,None,GRCh38,ovary,cell line,consolidated_classification/69d18295fc9a5d9c79b9c22a_classification_bed_files/59M_OVARY_amplicon5_Linear_1_intervals.bed,samples/59M_OVARY/59M_OVARY_CNV_CALLS.bed,samples/59M_OVARY/59M_OVARY_AA_results/59M_OVARY_amplicon5.png,samples/59M_OVARY/59M_OVARY_AA_results/59M_OVARY_amplicon5.pdf,samples/59M_OVARY/59M_OVARY_AA_results/59M_OVARY_amplicon5_cycles.txt,samples/59M_OVARY/59M_OVARY_AA_results/59M_OVARY_amplicon5_graph.txt,Not Provided,Not Provided,[]
