chrom1	pos1	chrom2	pos2	sv_type	read_support	features	orientation	pos1_flanking_coordinate	pos2_flanking_coordinate	homology_length	homology_sequence
chr8	127985600	chr8	127989151	duplication-like	57	ecDNA	-+	127985601	127989150	None	None
chr8	128012256	chr8	128014619	duplication-like	50	ecDNA	-+	128012257	128014618	None	None
chr8	128016683	chr8	128020832	duplication-like	56	ecDNA	-+	128016684	128020831	None	None
chr8	128030585	chr8	128034525	duplication-like	50	ecDNA	-+	128030586	128034524	None	None
chr8	128036867	chr8	128040340	duplication-like	51	ecDNA	-+	128036868	128040339	None	None
chr8	128044517	chr8	128049584	duplication-like	67	ecDNA	-+	128044518	128049583	None	None
chr8	128102772	chr8	128106695	duplication-like	55	ecDNA	-+	128102773	128106694	None	None
chr8	128168313	chr8	128171563	duplication-like	51	ecDNA	-+	128168314	128171562	None	None
chr8	128178434	chr8	128182529	duplication-like	48	ecDNA	-+	128178435	128182528	None	None
chr8	128200153	chr8	128202118	duplication-like	23	ecDNA	-+	128200154	128202117	None	None
chr8	127709483	chr8	128207637	duplication-like	121	ecDNA	-+	127709484	128207636	None	None
