List of cycle segments
Segment	1	chr4	143856947	143863747
Segment	2	chr4	143856947	143877544
Segment	3	chr4	169691267	169692316
Segment	4	chr4	169691267	169701864
Segment	5	chr4	169701267	169701864
Segment	6	chr4	169955314	169964833
Segment	7	chr4	169955314	170044341
Segment	8	chr4	170039497	170064341
Segment	9	chr5	160008	746099
Segment	10	chr5	255292	281957
Segment	11	chr5	274200	746099
Segment	12	chr5	282283	283612
Segment	13	chr5	282688	283453
Segment	14	chr5	491455	746099
Segment	15	chr5	491455	1974321
Segment	16	chr5	500039	1178178
Segment	17	chr5	528900	1341899
Segment	18	chr5	528900	1396809
Segment	19	chr5	838200	1178178
Segment	20	chr5	838200	1557890
Segment	21	chr5	838200	1627023
Segment	22	chr5	838200	1974321
Segment	23	chr5	842867	1337796
Segment	24	chr5	1180617	1402084
Segment	25	chr5	1180617	1557890
Segment	26	chr5	1327685	1337796
Segment	27	chr5	1337114	1562399
Segment	28	chr5	1337114	1627023
Segment	29	chr5	1628726	1924476
Segment	30	chr5	1925088	1967399
Segment	31	chr5	1925088	1968299
Segment	32	chr5	1971468	1974321
Segment	33	chr5	1971468	2840199
Segment	34	chr5	2154714	2840199
Segment	35	chr5	2154714	3158999
Segment	36	chr5	2154714	3209105
Segment	37	chr5	2154714	3219899
Segment	38	chr5	2407640	2567828
Segment	39	chr5	2490233	2491473
Segment	40	chr5	2539808	2567828
Segment	41	chr5	2689168	2689483
Segment	42	chr5	2831729	3153658
Segment	43	chr5	2831729	3209105
Segment	44	chr5	2831729	3310100
Segment	45	chr5	63719871	63720469
Segment	46	chr5	63720372	63730469
Segment	47	chr5	109694104	109895325
Segment	48	chr5	109694104	109909102
Segment	49	chr5	109697423	109772019
Segment	50	chr5	109804433	109895325
Segment	51	chr5	111180034	111190631
Segment	52	chr5	111188058	111190631
Segment	53	chr5	111943524	111954122
Segment	54	chr5	111943637	111944122
Segment	55	chr5	113129064	113599058
Segment	56	chr5	113132072	113436060
Segment	57	chr5	113471984	113487446
Segment	58	chr5	114294050	115420817
Segment	59	chr5	114294050	115501579
Segment	60	chr5	114620624	114989662
Segment	61	chr5	114999376	115094699
Segment	62	chr5	115293809	115343699
Segment	63	chr5	115298700	115341230
Segment	64	chr5	115413783	115420817
Segment	65	chr5	115422192	115445665
Segment	66	chr5	115422192	115478652
Segment	67	chr5	115428600	115470480
Segment	68	chr5	115469307	115480145
Segment	69	chr5	115469307	115483165
Segment	70	chr5	115471819	115480165
Segment	71	chr5	115479401	115518056
Segment	72	chr5	115484559	115484930
Segment	73	chr5	115485900	115501579
Segment	74	chr5	115490094	115842080
Segment	75	chr5	115496507	115855327
Segment	76	chr5	115503953	115516433
Segment	77	chr5	115505649	115516480
Segment	78	chr5	115517925	115519369
Segment	79	chr5	115517925	115817048
Segment	80	chr5	115518059	115519369
Segment	81	chr5	115520373	115815899
Segment	82	chr5	115520373	117119017
Segment	83	chr5	115814316	117117891
Segment	84	chr5	115824978	115827341
Segment	85	chr5	115854714	117119017
Segment	86	chr5	116162726	116881592
Segment	87	chr5	117404971	117541611
