chrom1	pos1	chrom2	pos2	sv_type	read_support	features	orientation	pos1_flanking_coordinate	pos2_flanking_coordinate	homology_length	homology_sequence
4	15871761	4	15871900	foldback	5	None	++	15871760	15871899	None	None
6	17882779	1	16008301	interchromosomal	16	unknown	-+	17882780	16008300	None	None
6	18402094	6	18402874	deletion-like	43	unknown	+-	18402093	18402875	None	None
6	22002914	6	22002914	foldback	4	ecDNA	++	22002913	22002913	None	None
6	22242245	6	22245081	foldback	5	ecDNA	++	22242244	22245080	None	None
6	21820178	6	22322824	inversion	17	ecDNA	--	21820179	22322825	None	None
6	21716138	6	22325967	inversion	9	None	--	21716139	22325968	None	None
6	22324835	6	22329193	foldback	11	ecDNA	++	22324834	22329192	None	None
6	23077225	6	23690026	inversion	19	ecDNA	++	23077224	23690025	None	None
6	64027899	6	64052481	foldback	7	unknown	--	64027900	64052482	None	None
6	64038271	6	64053129	foldback	4	unknown	++	64038270	64053128	None	None
6	66260035	6	66262029	deletion-like	16	unknown	+-	66260034	66262030	None	None
6	66595038	6	66595882	deletion-like	8	unknown	+-	66595037	66595883	None	None
6	18847386	6	66815385	inversion	6	unknown	--	18847387	66815386	None	None
6	68101522	6	68112187	deletion-like	4	unknown	+-	68101521	68112188	None	None
6	69138580	6	69139433	deletion-like	6	unknown	+-	69138579	69139434	None	None
6	69558976	4	15871659	interchromosomal	5	None	--	69558977	15871660	None	None
