chrom1	pos1	chrom2	pos2	sv_type	read_support	features	orientation	pos1_flanking_coordinate	pos2_flanking_coordinate	homology_length	homology_sequence
3	14408754	3	14408754	foldback	4	None	--	14408755	14408755	None	None
3	14314791	3	14446443	inversion	14	ecDNA	++	14314790	14446442	None	None
3	14303300	3	66726789	inversion	21	ecDNA	--	14303301	66726790	None	None
3	14313442	3	66727909	inversion	12	ecDNA	--	14313443	66727910	None	None
3	14426702	3	66730198	inversion	7	None	--	14426703	66730199	None	None
3	14306601	3	66734534	duplication-like	9	ecDNA	-+	14306602	66734533	None	None
3	14319761	3	66737830	inversion	9	None	++	14319760	66737829	None	None
3	14441752	3	197081534	inversion	6	ecDNA	--	14441753	197081535	None	None
3	66736118	3	197114638	inversion	9	ecDNA	++	66736117	197114637	None	None
3	14313252	3	197211972	duplication-like	7	ecDNA	-+	14313253	197211971	None	None
3	197211148	3	197216858	foldback	14	ecDNA	--	197211149	197216859	None	None
3	14308430	3	197234727	inversion	12	ecDNA	++	14308429	197234726	None	None
3	197228263	3	197235927	deletion-like	8	ecDNA	+-	197228262	197235928	None	None
3	197230924	3	197244111	foldback	13	ecDNA	++	197230923	197244110	None	None
3	197230134	3	197245973	foldback	5	ecDNA	--	197230135	197245974	None	None
3	14443718	3	197253216	inversion	7	ecDNA	--	14443719	197253217	None	None
3	14305033	3	197257696	inversion	7	ecDNA	--	14305034	197257697	None	None
3	197260340	3	197263081	foldback	5	ecDNA	++	197260339	197263080	None	None
3	66734525	3	197313387	inversion	11	None	++	66734524	197313386	None	None
