chrom1	pos1	chrom2	pos2	sv_type	read_support	features	orientation	pos1_flanking_coordinate	pos2_flanking_coordinate	homology_length	homology_sequence
8	100157829	8	100157829	foldback	8	ecDNA	--	100157830	100157830	None	None
8	100157800	8	100158244	foldback	5	ecDNA	++	100157799	100158243	None	None
8	106604893	8	106604893	foldback	3	ecDNA	--	106604894	106604894	None	None
8	108414854	8	108414854	foldback	4	ecDNA	++	108414853	108414853	None	None
8	103420569	8	108754110	inversion	5	ecDNA	++	103420568	108754109	None	None
8	109175535	8	109175535	foldback	2	ecDNA	++	109175534	109175534	None	None
8	110253003	8	110253003	foldback	3	ecDNA	--	110253004	110253004	None	None
8	110889360	8	110889360	foldback	4	ecDNA	--	110889361	110889361	None	None
8	112294049	8	112297137	deletion-like	15	ecDNA	+-	112294048	112297138	None	None
8	112407698	8	112407698	foldback	2	ecDNA	++	112407697	112407697	None	None
8	113225836	8	113226382	deletion-like	2	None	+-	113225835	113226383	None	None
8	113296011	8	113298015	deletion-like	6	None	+-	113296010	113298016	None	None
8	113591407	8	113591407	foldback	4	None	--	113591408	113591408	None	None
8	98480554	8	114589649	duplication-like	4	None	-+	98480555	114589648	None	None
8	114812267	8	114812267	foldback	4	None	++	114812266	114812266	None	None
8	98471909	8	117500486	deletion-like	9	None	+-	98471908	117500487	None	None
8	118223363	8	118223868	deletion-like	2	None	+-	118223362	118223869	None	None
8	108156451	8	118508676	deletion-like	2	None	+-	108156450	118508677	None	None
8	98599063	8	118882402	inversion	2	None	++	98599062	118882401	None	None
8	114465774	8	118902283	deletion-like	2	ecDNA	+-	114465773	118902284	None	None
8	108152908	8	119413455	deletion-like	4	ecDNA	+-	108152907	119413456	None	None
8	102230975	8	121861704	duplication-like	4	ecDNA	-+	102230976	121861703	None	None
8	98967965	8	123148646	inversion	7	ecDNA	--	98967966	123148647	None	None
8	117520881	8	123319027	inversion	5	None	++	117520880	123319026	None	None
8	126595131	8	126601135	deletion-like	29	ecDNA	+-	126595130	126601136	None	None
8	129465161	8	129471267	deletion-like	34	ecDNA	+-	129465160	129471268	None	None
8	129859324	8	129862434	deletion-like	21	ecDNA	+-	129859323	129862435	None	None
8	130198504	8	137596523	deletion-like	21	ecDNA	+-	130198503	137596524	None	None
8	98220130	8	137665691	duplication-like	14	ecDNA	-+	98220131	137665690	None	None
