chrom1	pos1	chrom2	pos2	sv_type	read_support	features	orientation	pos1_flanking_coordinate	pos2_flanking_coordinate	homology_length	homology_sequence
1	242179471	8	129902680	interchromosomal	61	None	--	242179472	129902681	None	None
1	242180496	8	129896911	interchromosomal	37	None	+-	242180495	129896912	None	None
8	128765345	8	129107222	inversion	130	ecDNA	++	128765344	129107221	None	None
8	129133055	8	129162956	inversion	127	ecDNA	++	129133054	129162955	None	None
8	129163348	8	129165417	foldback	79	ecDNA	--	129163349	129165418	None	None
8	129135320	8	129384263	inversion	112	ecDNA	--	129135321	129384264	None	None
8	129465169	8	129471262	deletion-like	357	ecDNA	+-	129465168	129471263	None	None
8	128894568	8	129697631	inversion	151	ecDNA	++	128894567	129697630	None	None
8	129762497	8	129766035	deletion-like	45	ecDNA	+-	129762496	129766036	None	None
8	129383660	8	129867117	inversion	93	ecDNA	++	129383659	129867116	None	None
8	128767087	8	129868273	inversion	138	ecDNA	--	128767088	129868274	None	None
8	128746226	8	129876868	duplication-like	161	ecDNA	-+	128746227	129876867	None	None
8	128741000	8	129878606	deletion-like	146	ecDNA	+-	128740999	129878607	None	None
8	129913578	8	129913578	foldback	4	ecDNA	--	129913579	129913579	None	None
8	128670729	8	129925693	inversion	8	ecDNA	++	128670728	129925692	None	None
8	129108389	8	130037768	duplication-like	161	ecDNA	-+	129108390	130037767	None	None
8	129699271	8	130099158	inversion	137	ecDNA	--	129699272	130099159	None	None
8	129935624	8	130262745	inversion	161	ecDNA	++	129935623	130262744	None	None
8	129310413	8	130263557	inversion	164	ecDNA	--	129310414	130263558	None	None
8	128654374	8	130354380	duplication-like	222	ecDNA	-+	128654375	130354379	None	None
