chrom1	pos1	chrom2	pos2	sv_type	read_support	features	orientation	pos1_flanking_coordinate	pos2_flanking_coordinate	homology_length	homology_sequence
8	36018252	8	36018252	foldback	2	None	++	36018251	36018251	None	None
8	36022389	8	36022389	foldback	4	None	--	36022390	36022390	None	None
8	36028258	8	36029276	foldback	4	None	--	36028259	36029277	None	None
8	36029342	8	36029342	foldback	2	Linear	++	36029341	36029341	None	None
8	36033168	8	36033337	foldback	3	Linear	++	36033167	36033336	None	None
8	36035284	8	36035284	foldback	4	Linear	++	36035283	36035283	None	None
8	36036285	8	36036373	foldback	3	Linear	++	36036284	36036372	None	None
8	36040880	8	36040880	foldback	4	Linear	--	36040881	36040881	None	None
8	36043968	8	36043968	foldback	4	Linear	++	36043967	36043967	None	None
8	36047781	8	36047781	foldback	4	Linear	++	36047780	36047780	None	None
8	36076605	8	36076711	foldback	5	Linear	++	36076604	36076710	None	None
8	36082458	8	36082618	foldback	8	Linear	++	36082457	36082617	None	None
8	36100454	8	36100541	foldback	5	Linear	--	36100455	36100542	None	None
8	36115524	8	36115631	foldback	7	Linear	--	36115525	36115632	None	None
8	36138501	8	36138593	foldback	3	None	++	36138500	36138592	None	None
8	36138699	8	36138797	foldback	4	None	--	36138700	36138798	None	None
8	36147864	8	36147864	foldback	4	Linear	++	36147863	36147863	None	None
8	36154466	8	36154466	foldback	4	Linear	++	36154465	36154465	None	None
8	36155532	8	36155532	foldback	4	None	--	36155533	36155533	None	None
8	36169203	8	36169345	foldback	4	Linear	--	36169204	36169346	None	None
8	36184763	8	36184811	foldback	3	Linear	++	36184762	36184810	None	None
8	36191676	8	36191676	foldback	4	None	++	36191675	36191675	None	None
8	36192845	8	36192845	foldback	3	None	--	36192846	36192846	None	None
8	36206637	8	36206637	foldback	4	Linear	--	36206638	36206638	None	None
8	36215264	8	36215398	foldback	6	Linear	--	36215265	36215399	None	None
8	36217938	8	36217938	foldback	4	Linear	++	36217937	36217937	None	None
8	36259852	8	36259852	foldback	4	Linear	--	36259853	36259853	None	None
8	36261910	8	36261910	foldback	5	Linear	--	36261911	36261911	None	None
