chrom1	pos1	chrom2	pos2	sv_type	read_support	features	orientation	pos1_flanking_coordinate	pos2_flanking_coordinate	homology_length	homology_sequence
1	152827101	19	30655963	interchromosomal	4	Complex-non-cyclic	-+	152827102	30655962	None	None
1	152543755	1	158723203	inversion	10	None	--	152543756	158723204	None	None
1	158726875	1	158728061	deletion-like	5	None	+-	158726874	158728062	None	None
1	158867523	1	158870027	deletion-like	12	Complex-non-cyclic	+-	158867522	158870028	None	None
1	159648695	1	159649664	deletion-like	22	Complex-non-cyclic	+-	159648694	159649665	None	None
1	159685642	19	30763377	interchromosomal	7	Complex-non-cyclic	--	159685643	30763378	None	None
1	160760350	19	30835293	interchromosomal	5	Complex-non-cyclic	-+	160760351	30835292	None	None
1	161069925	19	30456624	interchromosomal	13	Complex-non-cyclic	+-	161069924	30456625	None	None
1	152731159	1	162218172	inversion	9	Complex-non-cyclic	++	152731158	162218171	None	None
19	30316671	19	30317186	deletion-like	5	Complex-non-cyclic	+-	30316670	30317187	None	None
19	30388801	19	30393110	deletion-like	6	Complex-non-cyclic	+-	30388800	30393111	None	None
19	31525134	19	31525442	foldback	5	Complex-non-cyclic	--	31525135	31525443	None	None
