List of cycle segments
Segment	1	3	140541288	140544319
Segment	2	3	140541288	140553563
Segment	3	3	140543287	140544689
Segment	4	3	140543287	140550965
Segment	5	3	140547055	140561944
Segment	6	3	140553790	140561944
Segment	7	3	143522800	144032614
Segment	8	3	143629800	143669099
Segment	9	3	143895722	143916893
Segment	10	3	144476880	145154699
Segment	11	3	144576811	145161559
Segment	12	3	148613309	148621408
Segment	13	3	148613309	148633965
Segment	14	3	151788433	151919999
Segment	15	3	151886700	152019089
Segment	16	3	151888433	151921373
Segment	17	3	157161291	157421947
Segment	18	3	157268629	157291108
Segment	19	3	157268629	157308731
Segment	20	3	157271400	157291108
Segment	21	3	157291291	157308731
Segment	22	3	169046204	169771500
Segment	23	3	169141200	169767599
Segment	24	3	169146860	169548899
Segment	25	3	169697798	169937091
Segment	26	3	169708200	169771500
Segment	27	3	169805621	169837050
Segment	28	3	173875448	174176321
Segment	29	3	173976111	174075943
Segment	30	5	2885942	2894834
Segment	31	5	2885942	2903838
Segment	32	5	2903477	2905811
Segment	33	5	2903477	2905849
Segment	34	5	2903477	2906598
Segment	35	5	2905656	2906598
Segment	36	5	12640084	12755276
Segment	37	5	12740084	12755276
Segment	38	5	14349708	14529762
Segment	39	5	14455676	14455917
Segment	40	5	14459383	14529762
Segment	41	5	14459383	14629758
Segment	42	5	23347924	23594699
Segment	43	5	23445300	23591632
Segment	44	5	23445300	23786090
Segment	45	5	23618700	23685245
Segment	46	5	31463751	31635936
Segment	47	5	31564594	32745157
Segment	48	5	31724400	31856448
Segment	49	5	32713061	32723106
Segment	50	5	32723880	32725228
Segment	51	6	42424321	42654978
Segment	52	6	42522875	42554978
Segment	53	6	47029388	47030045
Segment	54	6	47029388	47034396
Segment	55	6	47029388	47040045
Segment	56	6	47101956	47409833
Segment	57	6	47201823	47309726
Segment	58	6	47201823	47312399
Segment	59	6	47761823	47956078
Segment	60	6	47943999	47954761
Segment	61	6	47954878	48340092
Segment	62	6	48124040	48239542
Segment	63	8	16152311	16664729
Segment	64	8	16252470	16259412
Segment	65	8	16496051	16563757
Segment	66	8	17933167	17953824
Segment	67	8	17943426	17953824
Segment	68	10	92239561	92461860
Segment	69	10	92339531	92461860
Segment	70	10	92339531	92590869
Segment	71	10	92349900	92461860
Segment	72	10	92465624	92487299
Segment	73	11	983211	1151099
Segment	74	11	988200	1078779
Segment	75	11	1016609	1018517
Segment	76	11	1079511	1151099
Segment	77	11	1212600	1565375
Segment	78	11	1334400	1422861
Segment	79	11	1434600	2121170
Segment	80	11	1437284	1565375
Segment	81	11	2397877	3005922
Segment	82	11	2400300	2427483
Segment	83	11	2853398	3124235
Segment	84	11	3006644	3024401
Segment	85	11	3075803	3124235
Segment	86	11	12977710	13085901
Segment	87	11	13078448	13085901
Segment	88	11	13078448	13282032
Segment	89	11	13078448	13284299
Segment	90	11	13078805	13284299
Segment	91	11	13088700	13724847
Segment	92	11	13437300	13724847
Segment	93	11	19033625	19176836
Segment	94	11	19139100	19184399
Segment	95	11	19139100	19204281
Segment	96	11	20284174	20414830
Segment	97	11	20299891	20305848
Segment	98	11	21583713	21835806
Segment	99	11	21670500	21735696
Segment	100	11	21683713	21735696
Segment	101	11	23113745	23580034
Segment	102	11	23213745	23479568
Segment	103	11	23217900	23479568
Segment	104	11	24892057	25134599
Segment	105	11	24892057	25144561
Segment	106	11	25052700	25144561
Segment	107	11	27774008	27904665
Segment	108	11	27869497	27904665
Segment	109	11	27874200	28014665
Segment	110	11	29400600	30458958
Segment	111	11	29889295	29967590
Segment	112	11	29892326	30464099
Segment	113	11	29968460	30458958
Segment	114	11	30191100	30458958
Segment	115	11	30662791	30668053
Segment	116	11	30763618	31462853
Segment	117	11	30881816	30883430
Segment	118	11	30883591	30988199
Segment	119	11	31320029	31320172
Segment	120	11	31320029	31320250
Segment	121	11	31454316	31462853
Segment	122	11	31462805	31462853
Segment	123	11	33213555	33563399
Segment	124	11	33313245	33563399
Segment	125	11	33313245	35316391
Segment	126	11	33652200	36130068
Segment	127	11	33779700	36029129
Segment	128	11	34385400	35316391
Segment	129	11	34714500	36029129
Segment	130	11	34959300	36029129
Segment	131	12	7960871	8182130
Segment	132	12	8061284	8141740
